acct_no,product_id,sub_product_id,pri_terr,sec_terr
100YAN,13,0,,UNASSIGN
1039ZS,13,0,,UNASSIGN
109PGQ,13,0,109000,
109TF0,13,0,103974,
110CHK,13,0,109000,
110N4J,13,0,109000,UNASSIGN
110XS9,13,0,109000,
11308G,13,0,102365,
113T06,13,0,109000,
114B78,13,0,100898,
116R47,13,0,108064,
117D4M,13,0,109000,UNASSIGN
119FDP,13,0,100335,
121F8B,13,0,100335,
121NGJ,13,0,109000,
1315RP,13,0,100335,
1434XS,13,0,103164,107258
163JCB,13,0,109000,UNASSIGN
163JPH,13,0,109000,
CA104063,12,0,108389,
DI131H6J,5,0,100424,
DI131M9R,5,0,100424,
DI138PKS,5,0,100424,
RW108876,2,0,100429,
RW115675,2,0,108051,
RW115695,2,0,100133,
RW117226,2,0,100429,
RW118166,2,0,109000,UNASSIGN
ST125RSC,1,0,100429,
ST126FWV,1,0,107859,
ST138PTB,1,0,103974,
ST1434XS,1,0,109000,102873
ST163JPH,1,0,109000,
ST1005324,1,0,100429,
ST1006060,1,0,103974,
ST1007727,1,0,100424,
ST1007855,1,0,100424,
ST1008095,1,0,100429,
ST1008114,1,0,100823,
ST1008203,1,0,100822,
ST1008251,1,0,100822,
ST1008337,1,0,100822,
ST1008373,1,0,100823,
ST1008541,1,0,100429,
ST1008594,1,0,100429,
ST1008646,1,0,102063,
ST1008774,1,0,100429,
ST1009016,1,0,100429,
ST1009056,1,0,100429,
ST1009072,1,0,,102864
ST1009073,1,0,,102875
ST1009076,1,0,103974,
ST1009100,1,0,100822,
ST1009103,1,0,100823,
ST1009165,1,0,100429,
ST1009207,1,0,,102873
ST1009216,1,0,100424,
ST1009248,1,0,100429,
ST1009271,1,0,100429,
ST1009332,1,0,100424,
ST1009360,1,0,100429,
ST1009362,1,0,100424,
ST1009417,1,0,,102873
ST1009648,1,0,,102873
ST1009695,1,0,103974,
ST1009733,1,0,100429,
ST1009775,1,0,100137,
ST1009799,1,0,100429,
ST1009836,1,0,100429,
ST1009851,1,0,100822,103280
ST1009900,1,0,100424,
ST1009938,1,0,100822,
ST1009965,1,0,,103294
ST1010027,1,0,,102864
ST1010028,1,0,,102873
ST1010065,1,0,100823,
ST1010145,1,0,100426,
ST1010152,1,0,,103284
ST1010255,1,0,100823,103280
ST1010294,1,0,100823,
ST1010299,1,0,100823,
ST1010343,1,0,,102864
ST1010416,1,0,,103293
ST1010457,1,0,,102873
ST1010489,1,0,,103284
ST1010589,1,0,,102867
ST1010599,1,0,100823,
ST1010707,1,0,100424,
ST1010772,1,0,100429,
ST1010895,1,0,,102864
ST1011314,1,0,108064,
ST1011402,1,0,100823,
ST1011535,1,0,100424,
ST1011548,1,0,,102867
ST1011589,1,0,,102867
ST1011793,1,0,100429,
ST1011991,1,0,,102864
ST1012384,1,0,,103286
ST1012591,1,0,100429,
ST1012667,1,0,100429,
ST1012710,1,0,100429,
ST1012736,1,0,103974,
ST1012743,1,0,100429,
ST1013397,1,0,100822,
ST1013445,1,0,102525,
ST1013519,1,0,,102864
ST1013712,1,0,100823,103280
ST1013773,1,0,,103280
ST1014211,1,0,100429,
ST1014424,1,0,100822,103289
ST1014455,1,0,,102864
ST1014461,1,0,100424,
ST1014911,1,0,100428,
ST1014927,1,0,,102864
ST1014928,1,0,100424,
ST1015086,1,0,100424,
ST1015121,1,0,100822,
ST1015438,1,0,100424,
ST1015455,1,0,100823,
ST1015518,1,0,100823,
ST1015534,1,0,100424,
ST1015613,1,0,100823,
ST1015650,1,0,100429,
ST1015672,1,0,100429,
ST1015683,1,0,,102873
ST1015797,1,0,100424,
ST1015907,1,0,100424,
ST1016054,1,0,100821,
ST1016099,1,0,100429,
ST1016102,1,0,100424,
ST1016104,1,0,,103294
ST1016276,1,0,103974,
ST1016298,1,0,,103293
ST1016325,1,0,100424,
ST1016377,1,0,103974,
ST1016411,1,0,100429,
ST1016483,1,0,100823,
ST1016690,1,0,100429,
ST1017004,1,0,100429,
ST1017038,1,0,103974,
ST1017040,1,0,103974,
ST1017179,1,0,,102873
ST1017224,1,0,100429,
ST1017269,1,0,100429,
ST1017353,1,0,100424,
ST1017395,1,0,100822,
ST1017402,1,0,,103294
ST1017448,1,0,103974,
ST1017552,1,0,100424,
ST1017604,1,0,100822,
ST1017683,1,0,108064,
ST1017737,1,0,100429,
ST1017754,1,0,100822,
ST1017805,1,0,103974,
ST1017810,1,0,,102864
ST1017840,1,0,100424,
ST1017871,1,0,100823,
ST1017959,1,0,100424,
ST1017989,1,0,103974,
ST1018025,1,0,,103284
ST1018081,1,0,108062,
ST1018210,1,0,100822,
ST1018282,1,0,,102864
ST1018315,1,0,100424,
ST1018351,1,0,100429,
ST1018372,1,0,100823,
ST1018615,1,0,100822,
ST1018667,1,0,103974,
ST1018687,1,0,,102867
ST1018751,1,0,100424,
ST1018773,1,0,,103294
ST1018803,1,0,100822,
ST1018868,1,0,,102864
ST1018899,1,0,,103284
ST1019266,1,0,100424,
ST1019270,1,0,,102867
ST1019350,1,0,100424,
ST1019405,1,0,,102875
ST1019427,1,0,100429,
ST1019443,1,0,100429,
ST1019487,1,0,100429,
ST1019514,1,0,100429,
ST1019777,1,0,103974,
ST1019823,1,0,103974,
ST1019831,1,0,103974,
ST1019859,1,0,103974,
ST1020008,1,0,100429,
ST1020074,1,0,103974,
ST1020220,1,0,,103286
ST1020522,1,0,100429,
ST1020536,1,0,103974,
ST1020538,1,0,103974,
ST1020645,1,0,100822,
ST1020680,1,0,100429,
ST1020802,1,0,100424,
ST1020831,1,0,100424,
ST1020879,1,0,,102867
ST1021101,1,0,103974,
ST1021245,1,0,100823,
ST1021350,1,0,100429,
ST1021655,1,0,100429,
ST1021712,1,0,100424,
ST1021864,1,0,100823,
ST1021901,1,0,100424,
ST1021953,1,0,,103293
ST1022271,1,0,103974,
ST1022688,1,0,100429,
ST1022839,1,0,100823,
ST1022864,1,0,100823,
ST1023170,1,0,100424,
ST1023266,1,0,103974,
ST1023270,1,0,100433,
ST1023448,1,0,100424,
ST1023481,1,0,,102867
ST1023525,1,0,100429,
ST1023644,1,0,103974,
ST1023751,1,0,103974,
ST1023774,1,0,103974,
ST1023839,1,0,103974,
ST1023856,1,0,100432,
ST1024161,1,0,100424,
ST1024210,1,0,100823,
ST1024314,1,0,100429,
ST1024422,1,0,100429,
ST1024434,1,0,100823,
ST1024657,1,0,100429,
ST1024727,1,0,100424,
ST1024771,1,0,,102873
ST1024882,1,0,103974,
ST1024883,1,0,103974,
ST1024886,1,0,103974,
ST1024887,1,0,103974,
ST1024889,1,0,103974,
ST1024910,1,0,100424,
ST1025034,1,0,103974,
ST1025036,1,0,103974,
ST1025040,1,0,103974,
ST1025056,1,0,103974,
ST1025057,1,0,103974,
ST1025101,1,0,100823,
ST1025183,1,0,100822,
ST1025220,1,0,100823,
ST1025272,1,0,,103291
ST1025304,1,0,103974,
ST1025380,1,0,103974,
ST1025428,1,0,103974,
ST1025569,1,0,103974,
ST1025912,1,0,100709,
ST1025914,1,0,100429,
ST1025944,1,0,103974,
ST1025979,1,0,103974,
ST1026090,1,0,100424,
ST1026205,1,0,103974,
ST1026207,1,0,100424,
ST1026679,1,0,,103294
ST1026708,1,0,100823,
ST1027084,1,0,100429,
ST1027150,1,0,100429,
ST1027185,1,0,100429,
ST1027275,1,0,108064,
ST1027317,1,0,100429,
ST1027349,1,0,103974,
ST1027783,1,0,102525,
ST1027975,1,0,100429,
ST1028208,1,0,,103294
ST1028336,1,0,100823,
ST1028400,1,0,100429,
ST1028440,1,0,100429,
ST1028472,1,0,,103294
ST1028546,1,0,100429,
ST1028621,1,0,103262,
ST1028739,1,0,100424,
ST1028842,1,0,100424,
ST1028876,1,0,,103293
ST1029409,1,0,100822,
ST1029581,1,0,100424,
ST1029637,1,0,100429,
ST1030127,1,0,100823,
ST1030128,1,0,100823,
ST1030130,1,0,100823,
ST1030217,1,0,100429,
ST1030260,1,0,100424,
ST1030323,1,0,100429,
ST1030509,1,0,100424,
ST1030537,1,0,100429,
ST1030640,1,0,,102867
ST1030691,1,0,103974,
ST1030799,1,0,100823,
ST1030838,1,0,100424,
ST1030967,1,0,100429,
ST1030980,1,0,103974,
ST1031053,1,0,100429,
ST1031206,1,0,100429,
ST1031315,1,0,100429,
ST1031317,1,0,100429,
ST1031479,1,0,102505,
ST1031482,1,0,100424,
ST1031591,1,0,103974,
ST1031592,1,0,100429,
ST1031637,1,0,100429,
ST1031715,1,0,100429,
ST1031752,1,0,100429,
ST1031923,1,0,100429,
ST1031929,1,0,100429,
ST1032071,1,0,100429,
ST1032134,1,0,100429,
ST1032238,1,0,100429,
ST1032305,1,0,100823,
ST1032464,1,0,100424,
ST1032631,1,0,100424,
ST1032667,1,0,100429,
ST1032919,1,0,100823,
ST1033060,1,0,100424,
ST1033117,1,0,102505,
ST1033137,1,0,103974,
